0;START;{}
0;MAP;{name: Tutorial}
0;Human;{id: Victim6 , breath: 30 , pulse: 140 , throat: 0 , pos_x: 2380 , pos_y: 140}
0;Human;{id: Victim5 , breath: 22 , pulse: 161 , throat: 0 , pos_x: 1346 , pos_y: 136}
0;Human;{id: Victim4 , breath: 15 , pulse: 103 , throat: 0 , pos_x: 933 , pos_y: 873}
0;Human;{id: Victim3 , breath: 0 , pulse: 0 , throat: 0 , pos_x: 895 , pos_y: 118}
0;Human;{id: Victim2 , breath: 0 , pulse: 82 , throat: 0 , pos_x: 1382 , pos_y: -353}
0;Human;{id: Victim1 , breath: 30 , pulse: 140 , throat: 0 , pos_x: 1630 , pos_y: 620}
5006;POSITION;{x: 2320, y: -320}
9543;SETDATA;{ human_id : Victim6 , triage : 3 }
10009;POSITION;{x: 2223, y: 235}
14281;SETDATA;{ human_id : Victim1 , triage : 3 }
15017;POSITION;{x: 1752, y: 744}
18372;SETDATA;{ human_id : Victim4 , triage : 2 }
20028;POSITION;{x: 1054, y: 874}
22684;SETDATA;{ human_id : Victim5 , triage : 3 }
25035;POSITION;{x: 1267, y: 231}
30035;POSITION;{x: 963, y: 80}
30766;SETDATA;{ human_id : Victim3 , triage : dead }
35046;POSITION;{x: 1270, y: -287}
35615;SETDATA;{ human_id : Victim2 , triage : 3 }
40046;POSITION;{x: 712, y: -345}
45052;POSITION;{x: 85, y: 580}
50063;POSITION;{x: -216, y: 2993}
55064;POSITION;{x: 1440, y: 2370}
60073;POSITION;{x: 255, y: 531}
65000;STOP;{}
